ID,Benchmark,Data_Indices,Status,Error_Type
gsm8k_2_1,gsm8k,914_636_904,verified_incorrect,
gsm8k_1_1,gsm8k,318_497_861,verified_correct,
gsm8k_0_0,gsm8k,232_432,verified_incorrect,
gsm8k_1_0,gsm8k,318_497_861,verified_correct,
gsm8k_2_0,gsm8k,914_636_904,verified_correct,
gsm8k_0_1,gsm8k,232_432,verified_incorrect,
gsm8k_4_0,gsm8k,138_458,verified_incorrect,
gsm8k_3_0,gsm8k,506_353_139,verified_correct,
gsm8k_3_1,gsm8k,506_353_139,verified_incorrect,
gsm8k_4_1,gsm8k,138_458,verified_incorrect,
gsm8k_6_0,gsm8k,320_284_456,verified_correct,
gsm8k_5_0,gsm8k,248_657_313,verified_incorrect,
gsm8k_6_1,gsm8k,320_284_456,verified_incorrect,
gsm8k_7_0,gsm8k,539_39_437,verified_correct,
gsm8k_7_1,gsm8k,539_39_437,verified_correct,
gsm8k_8_1,gsm8k,75_277_900,verified_correct,
gsm8k_9_0,gsm8k,269_410,verified_incorrect,
gsm8k_8_0,gsm8k,75_277_900,verified_correct,
gsm8k_9_1,gsm8k,269_410,verified_correct,
gsm8k_5_1,gsm8k,248_657_313,verified_incorrect,
gsm8k_10_1,gsm8k,547_548_343,verified_correct,
gsm8k_12_0,gsm8k,558_286_390,verified_correct,
gsm8k_10_0,gsm8k,547_548_343,verified_correct,
gsm8k_13_0,gsm8k,739_649_62,verified_correct,
gsm8k_12_1,gsm8k,558_286_390,verified_incorrect,
gsm8k_11_0,gsm8k,771_954,verified_correct,
gsm8k_11_1,gsm8k,771_954,verified_incorrect,
gsm8k_13_1,gsm8k,739_649_62,verified_correct,
gsm8k_14_0,gsm8k,637_407,verified_incorrect,
gsm8k_14_1,gsm8k,637_407,verified_incorrect,
gsm8k_15_0,gsm8k,656_196_879,verified_incorrect,
gsm8k_15_1,gsm8k,656_196_879,verified_correct,
gsm8k_16_1,gsm8k,720_152,verified_correct,
gsm8k_17_0,gsm8k,89_476,verified_correct,
gsm8k_17_1,gsm8k,89_476,verified_correct,
gsm8k_16_0,gsm8k,720_152,verified_incorrect,
gsm8k_19_1,gsm8k,186_864_855,verified_incorrect,
gsm8k_18_1,gsm8k,462_326,verified_correct,
gsm8k_19_0,gsm8k,186_864_855,verified_correct,
gsm8k_18_0,gsm8k,462_326,verified_incorrect,
gsm8k_20_0,gsm8k,494_791,verified_correct,
gsm8k_22_1,gsm8k,495_807,verified_incorrect,
gsm8k_21_1,gsm8k,381_472_444,verified_incorrect,
gsm8k_22_0,gsm8k,495_807,verified_incorrect,
gsm8k_21_0,gsm8k,381_472_444,verified_correct,
gsm8k_20_1,gsm8k,494_791,verified_correct,
gsm8k_24_1,gsm8k,963_461_247,verified_correct,
gsm8k_23_0,gsm8k,712_431,verified_correct,
gsm8k_23_1,gsm8k,712_431,verified_incorrect,
gsm8k_24_0,gsm8k,963_461_247,verified_incorrect,
gsm8k_25_0,gsm8k,550_724_310,verified_incorrect,
gsm8k_26_1,gsm8k,565_598,verified_incorrect,
gsm8k_27_0,gsm8k,681_553_88,verified_incorrect,
gsm8k_27_1,gsm8k,681_553_88,verified_incorrect,
gsm8k_26_0,gsm8k,565_598,verified_incorrect,
gsm8k_25_1,gsm8k,550_724_310,verified_correct,
gsm8k_28_1,gsm8k,275_80,verified_correct,
gsm8k_28_0,gsm8k,275_80,verified_correct,
gsm8k_29_1,gsm8k,423_599_65,verified_correct,
gsm8k_29_0,gsm8k,423_599_65,verified_incorrect,
gsm8k_30_0,gsm8k,863_90,verified_correct,
gsm8k_31_1,gsm8k,396_926_650,verified_correct,
gsm8k_32_0,gsm8k,798_589_79,verified_correct,
gsm8k_31_0,gsm8k,396_926_650,verified_correct,
gsm8k_30_1,gsm8k,863_90,verified_correct,
gsm8k_32_1,gsm8k,798_589_79,verified_correct,
gsm8k_33_0,gsm8k,749_960_552,verified_correct,
gsm8k_34_1,gsm8k,628_290_160,verified_correct,
gsm8k_33_1,gsm8k,749_960_552,verified_incorrect,
gsm8k_34_0,gsm8k,628_290_160,verified_incorrect,
gsm8k_37_0,gsm8k,525_606,verified_correct,
gsm8k_37_1,gsm8k,525_606,verified_correct,
gsm8k_35_1,gsm8k,880_635,verified_correct,
gsm8k_36_1,gsm8k,884_608_265,verified_correct,
gsm8k_36_0,gsm8k,884_608_265,verified_incorrect,
gsm8k_35_0,gsm8k,880_635,verified_correct,
gsm8k_38_1,gsm8k,811_63_18,verified_correct,
gsm8k_39_1,gsm8k,887_285_578,verified_correct,
gsm8k_39_0,gsm8k,887_285_578,verified_incorrect,
gsm8k_38_0,gsm8k,811_63_18,execution_failed,TimeoutError
gsm8k_41_1,gsm8k,84_588_504,verified_correct,
gsm8k_42_0,gsm8k,499_870,verified_incorrect,
gsm8k_41_0,gsm8k,84_588_504,verified_correct,
gsm8k_40_1,gsm8k,341_255_611,verified_correct,
gsm8k_42_1,gsm8k,499_870,verified_incorrect,
gsm8k_40_0,gsm8k,341_255_611,verified_correct,
gsm8k_43_1,gsm8k,760_505,verified_correct,
gsm8k_43_0,gsm8k,760_505,verified_correct,
gsm8k_44_0,gsm8k,797_674,verified_correct,
gsm8k_44_1,gsm8k,797_674,verified_correct,
gsm8k_46_1,gsm8k,68_932,verified_correct,
gsm8k_45_0,gsm8k,491_441,verified_correct,
gsm8k_45_1,gsm8k,491_441,verified_incorrect,
gsm8k_46_0,gsm8k,68_932,verified_incorrect,
gsm8k_47_0,gsm8k,740_652,verified_incorrect,
gsm8k_48_1,gsm8k,949_377,verified_correct,
gsm8k_47_1,gsm8k,740_652,verified_correct,
